종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"003580","넥스트사이언스","KOSPI","광업","19000","-2250","-10.59","796400903000"
"251270","넷마블","KOSPI","서비스업","129000","500","0.39","11088001758000"
"090350","노루페인트","KOSPI","화학","9990","-110","-1.09","199800000000"
"090355","노루페인트우","KOSPI","화학","20800","-450","-2.12","9633020800"
"000320","노루홀딩스","KOSPI","기타금융","12500","50","0.40","166139387500"
"000325","노루홀딩스우","KOSPI","기타금융","48250","-300","-0.62","8938312500"
"006280","녹십자","KOSPI","의약품","267500","-500","-0.19","3126148915000"
"005250","녹십자홀딩스","KOSPI","서비스업","29500","-250","-0.84","1387332195000"
"005257","녹십자홀딩스2우","KOSPI","서비스업","68500","0","0.00","57950315000"
"004370","농심","KOSPI","음식료품","288500","-1500","-0.52","1754842217000"
"072710","농심홀딩스","KOSPI","기타금융","77800","-300","-0.38","360820062000"
"058730","다스코","KOSPI","기계","5270","-60","-1.13","88939476470"
"023590","다우기술","KOSPI","서비스업","23850","50","0.21","1070068815450"
"145210","다이나믹디자인","KOSPI","기계","490","-18","-3.54","77561730540"
"019680","대교","KOSPI","서비스업","4405","-85","-1.89","373116054250"
"019685","대교우B","KOSPI","서비스업","3375","-55","-1.60","65566091250"
"006370","대구백화점","KOSPI","유통업","11100","-300","-2.63","120119882100"
"008060","대덕","KOSPI","기타금융","7350","10","0.14","249092602500"
"00806K","대덕1우","KOSPI","기타금융","11050","-250","-2.21","13396544850"
"353200","대덕전자","KOSPI","전기전자","17200","150","0.88","849971110000"
"35320K","대덕전자1우","KOSPI","전기전자","13600","-150","-1.09","28499058400"
"000490","대동","KOSPI","기계","10000","0","0.00","237282100000"
"008110","대동전자","KOSPI","전기전자","8060","1110","15.97","84553002820"
"005750","대림B&Co","KOSPI","비금속광물","7010","-180","-2.50","116872402400"
"006570","대림통상","KOSPI","기계","3810","30","0.79","58007250000"
"001680","대상","KOSPI","음식료품","24150","-200","-0.82","836749803750"
"001685","대상우","KOSPI","음식료품","18300","0","0.00","25075080900"
"084690","대상홀딩스","KOSPI","기타금융","10050","0","0.00","363936006900"
"084695","대상홀딩스우","KOSPI","기타금융","11900","-350","-2.86","10870435800"
"128820","대성산업","KOSPI","유통업","5560","-60","-1.07","251509257680"
"117580","대성에너지","KOSPI","전기가스업","10300","-300","-2.83","283250000000"
"016710","대성홀딩스","KOSPI","서비스업","43550","-250","-0.57","700695939450"
"003540","대신증권","KOSPI","증권","21200","100","0.47","1076396080000"
"003547","대신증권2우B","KOSPI","증권","18850","100","0.53","188500000000"
"003545","대신증권우","KOSPI","증권","19250","100","0.52","500500000000"
"009190","대양금속","KOSPI","철강금속","5370","10","0.19","169449179340"
"014160","대영포장","KOSPI","종이목재","2630","60","2.33","285077663870"
"047040","대우건설","KOSPI","건설업","6630","-20","-0.30","2755578089940"
"009320","대우부품","KOSPI","운수장비","3235","25","0.78","154136023125"
"042660","대우조선해양","KOSPI","운수장비","25450","500","2.00","2730547526050"
"003090","대웅","KOSPI","기타금융","33000","-500","-1.49","1918685340000"
"069620","대웅제약","KOSPI","의약품","142000","0","0.00","1645293650000"
"000430","대원강업","KOSPI","운수장비","4285","-55","-1.27","265670000000"
"006340","대원전선","KOSPI","전기전자","1995","-25","-1.24","141678849165"
"006345","대원전선우","KOSPI","전기전자","3445","45","1.32","9030034000"
"003220","대원제약","KOSPI","의약품","16350","-250","-1.51","347025856050"
"024890","대원화성","KOSPI","화학","5720","60","1.06","235945149440"
"002880","대유에이텍","KOSPI","운수장비","1840","-20","-1.08","205825301680"
"000300","대유플러스","KOSPI","전기전자","1470","-25","-1.67","177868197780"
"012800","대창","KOSPI","철강금속","2100","-35","-1.64","191395047900"
"015230","대창단조","KOSPI","운수장비","7560","90","1.20","108003029400"
"001070","대한방직","KOSPI","섬유의복","45900","-200","-0.43","243270000000"
"006650","대한유화","KOSPI","화학","189500","-14500","-7.11","1231750000000"
"001440","대한전선","KOSPI","전기전자","2315","-45","-1.91","1982735015835"
"084010","대한제강","KOSPI","철강금속","19000","-450","-2.31","468287946000"
"001790","대한제당","KOSPI","음식료품","3390","-50","-1.45","304071406200"
"001795","대한제당우","KOSPI","음식료품","3455","-120","-3.36","22397935800"
"001130","대한제분","KOSPI","음식료품","162500","1500","0.93","274625000000"
"003490","대한항공","KOSPI","운수창고업","30800","-550","-1.75","10712881410000"
"003495","대한항공우","KOSPI","운수창고업","40250","-450","-1.11","44709458500"
"005880","대한해운","KOSPI","운수창고업","2855","-35","-1.21","911251648300"
"003830","대한화섬","KOSPI","화학","136500","-1500","-1.09","181272000000"
"016090","대현","KOSPI","섬유의복","3035","-5","-0.16","134396810850"
