,종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액,EPS,PER,BPS,PBR,주당배당금,배당수익률
292,071320,지역난방공사,KOSPI,전기가스업,40100,-350,-0.87,464307634400,,,132086.0,0.3,0,0.0
293,068400,SK렌터카,KOSPI,서비스업,9640,40,0.42,455835497600,740.0,13.03,9639.0,1.0,0,0.0
294,034120,SBS,KOSPI,서비스업,24850,-400,-1.58,453576662700,1114.0,22.31,31799.0,0.78,150,0.6
295,017390,서울가스,KOSPI,전기가스업,90000,900,1.01,450000000000,7512.0,11.98,192791.0,0.47,1750,1.94
296,000370,한화손해보험,KOSPI,보험,3820,-60,-1.55,445942655300,,,12154.0,0.31,0,0.0
297,093050,LF,KOSPI,섬유의복,15250,200,1.33,445910000000,2313.0,6.59,41768.0,0.37,500,3.28
298,001200,유진투자증권,KOSPI,증권,4585,-90,-1.93,444132526530,427.0,10.74,8151.0,0.56,70,1.53
299,002390,한독,KOSPI,의약품,32250,-500,-1.53,443873939250,2544.0,12.68,24757.0,1.3,275,0.85
300,016710,대성홀딩스,KOSPI,서비스업,27550,250,0.92,443264595450,837.0,32.92,26020.0,1.06,250,0.91
301,001530,DI동일,KOSPI,유통업,178000,-500,-0.28,438878402000,6765.0,26.31,195965.0,0.91,1500,0.84
302,063160,종근당바이오,KOSPI,의약품,80000,-3800,-4.53,438876960000,2280.0,35.09,28890.0,2.77,200,0.25
303,014830,유니드,KOSPI,화학,49250,0,0.0,437824767750,7600.0,6.48,79982.0,0.62,1200,2.44
304,001510,SK증권,KOSPI,증권,915,-16,-1.72,432420006465,67.0,13.66,1197.0,0.76,10,1.09
305,001430,세아베스틸,KOSPI,철강금속,12000,400,3.45,430345428000,483.0,24.84,51512.0,0.23,300,2.5
306,053210,스카이라이프,KOSPI,서비스업,8920,70,0.79,426571936720,1147.0,7.78,14620.0,0.61,350,3.92
307,025860,남해화학,KOSPI,화학,8570,150,1.78,425747684510,335.0,25.58,8735.0,0.98,60,0.7
308,126560,현대퓨처넷,KOSPI,서비스업,3770,-80,-2.08,425544766920,343.0,10.99,6569.0,0.57,60,1.59
309,004700,조광피혁,KOSPI,기타제조업,63000,-100,-0.16,418895694000,4076.0,15.46,41361.0,1.52,0,0.0
310,004430,송원산업,KOSPI,화학,17350,-400,-2.25,416400000000,1448.0,11.98,17983.0,0.96,150,0.86
311,003620,쌍용차,KOSPI,운수장비,2770,0,0.0,415056805540,,,2690.0,1.03,0,0.0
312,001780,알루코,KOSPI,철강금속,4980,45,0.91,414372269340,,,2755.0,1.81,0,0.0
313,084690,대상홀딩스,KOSPI,기타금융,11400,650,6.05,412822933200,1946.0,5.86,15703.0,0.73,200,1.75
314,002780,진흥기업,KOSPI,건설업,2835,0,0.0,412412397075,140.0,20.25,664.0,4.27,0,0.0
315,293480,하나제약,KOSPI,의약품,25250,250,1.0,409050000000,1778.0,14.2,13601.0,1.86,460,1.82
316,214390,경보제약,KOSPI,의약품,16900,-800,-4.52,404025934000,221.0,76.47,6239.0,2.71,100,0.59
317,011280,태림포장,KOSPI,종이목재,5680,-110,-1.9,402177739200,270.0,21.04,4325.0,1.31,290,5.11
318,003220,대원제약,KOSPI,의약품,19850,-250,-1.24,401835519550,1369.0,14.5,10124.0,1.96,260,1.31
319,001500,현대차증권,KOSPI,증권,13550,400,3.04,397517854050,2315.0,5.85,25525.0,0.53,600,4.43
320,033240,자화전자,KOSPI,전기전자,22200,750,3.5,397380000000,,,15564.0,1.43,0,0.0
321,000390,삼화페인트,KOSPI,화학,14950,-1800,-10.75,395259327450,167.0,89.52,10625.0,1.41,125,0.84
322,077500,유니퀘스트,KOSPI,유통업,14450,600,4.33,394589401250,953.0,15.16,7830.0,1.85,150,1.04
323,002210,동성제약,KOSPI,의약품,15100,-1050,-6.5,394124647000,,,2689.0,5.62,0,0.0
324,005950,이수화학,KOSPI,화학,16150,-600,-3.58,389470170000,,,18013.0,0.9,400,2.48
325,096760,JW홀딩스,KOSPI,기타금융,5840,-70,-1.18,388080585200,,,2191.0,2.67,90,1.54
326,006060,화승인더,KOSPI,화학,7000,-10,-0.14,387240000000,1092.0,6.41,5972.0,1.17,45,0.64
