,종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
937,007860,서연,10200,-200,-1.92,,,17990.0,0.57,50,0.49
938,200880,서연이화,8440,110,1.32,,,22608.0,0.37,100,1.18
939,019770,서연탑메탈,9360,-140,-1.47,,,5618.0,1.67,60,0.64
940,017390,서울가스,90000,900,1.01,7512.0,11.98,192791.0,0.47,1750,1.94
941,043710,서울리거,1000,-5,-0.5,,,1717.0,0.58,0,0.0
942,092190,서울바이오시스,20750,-1300,-5.9,147.0,141.16,4404.0,4.71,38,0.18
943,046890,서울반도체,21950,200,0.92,601.0,36.52,11339.0,1.94,156,0.71
944,004410,서울식품,218,-10,-4.39,,,73.0,2.99,0,0.0
945,004415,서울식품우,5080,-70,-1.36,,,,,0,0.0
946,063170,서울옥션,7690,-120,-1.54,,,4052.0,1.9,0,0.0
947,027040,서울전자통신,956,-74,-7.18,59.0,16.2,1343.0,0.71,0,0.0
948,018680,서울제약,10900,-450,-3.96,28.0,389.29,5958.0,1.83,15,0.14
949,021050,서원,2770,-70,-2.46,67.0,41.34,2159.0,1.28,10,0.36
950,093920,서원인텍,9060,-170,-1.84,672.0,13.48,8637.0,1.05,300,3.31
951,189860,서전기전,3320,-30,-0.9,138.0,24.06,3894.0,0.85,30,0.9
952,178320,서진시스템,50900,900,1.8,2688.0,18.94,14558.0,3.5,300,0.59
953,122690,서진오토모티브,2925,50,1.74,,,4352.0,0.67,0,0.0
954,140070,서플러스글로벌,3325,-55,-1.63,44.0,75.57,3336.0,1.0,0,0.0
955,011370,서한,1590,5,0.32,98.0,16.22,2994.0,0.53,30,1.89
956,065710,서호전기,20900,-250,-1.18,2978.0,7.02,14529.0,1.44,1200,5.74
957,008490,서흥,50500,-100,-0.2,2853.0,17.7,25552.0,1.98,400,0.79
