,종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
220,090350,노루페인트,KOSPI,화학,10150,160,1.6,203000000000
221,090355,노루페인트우,KOSPI,화학,20850,50,0.24,9656177100
222,000320,노루홀딩스,KOSPI,기타금융,12450,-50,-0.4,165474829950
223,000325,노루홀딩스우,KOSPI,기타금융,47800,-450,-0.93,8854950000
224,006280,녹십자,KOSPI,의약품,269500,2000,0.75,3149521991000
225,005250,녹십자홀딩스,KOSPI,서비스업,29900,400,1.36,1406143479000
226,005257,녹십자홀딩스2우,KOSPI,서비스업,69000,500,0.73,58373310000
227,004370,농심,KOSPI,음식료품,284000,-4500,-1.56,1727470328000
228,072710,농심홀딩스,KOSPI,기타금융,77200,-600,-0.77,358037388000
229,058730,다스코,KOSPI,기계,5260,-10,-0.19,88770710860
230,023590,다우기술,KOSPI,서비스업,23750,-100,-0.42,1065582153750
231,145210,다이나믹디자인,KOSPI,기계,487,-3,-0.61,77086862802
232,019680,대교,KOSPI,서비스업,4370,-35,-0.79,370151454500
233,019685,대교우B,KOSPI,서비스업,3275,-100,-2.96,63623392250
234,006370,대구백화점,KOSPI,유통업,10850,-250,-2.25,117414479350
235,008060,대덕,KOSPI,기타금융,7470,120,1.63,253159420500
236,00806K,대덕1우,KOSPI,기타금융,11000,-50,-0.45,13335927000
237,353200,대덕전자,KOSPI,전기전자,17850,650,3.78,882092111250
238,35320K,대덕전자1우,KOSPI,전기전자,14000,400,2.94,29337266000
239,000490,대동,KOSPI,기계,10000,0,0.0,237282100000
240,008110,대동전자,KOSPI,전기전자,8010,-50,-0.62,84028480470
241,005750,대림B&Co,KOSPI,비금속광물,7080,70,1.0,118039459200
242,006570,대림통상,KOSPI,기계,3765,-45,-1.18,57322125000
243,001680,대상,KOSPI,음식료품,23950,-200,-0.83,829820198750
244,001685,대상우,KOSPI,음식료품,18250,-50,-0.27,25006569750
245,084690,대상홀딩스,KOSPI,기타금융,9980,-70,-0.7,361401129240
246,084695,대상홀딩스우,KOSPI,기타금융,11900,0,0.0,10870435800
247,128820,대성산업,KOSPI,유통업,5300,-260,-4.68,239748033400
248,117580,대성에너지,KOSPI,전기가스업,9780,-520,-5.05,268950000000
